City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
649,Mogadishu,SO,81.19,broken clouds,2.0371,45.3438,Hotel Juba
651,Coroneo,MX,76.23,clear sky,20.1333,-100.3333,La Capilla Mirador
652,Kuala Terengganu,MY,80.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
653,Mawlaik,MM,76.5,scattered clouds,23.6333,94.4167,AKZ Guest House
656,Joinville,BR,76.1,overcast clouds,-26.3044,-48.8456,Mercure Joinville Prinz Hotel
657,Altamira,BR,87.89,scattered clouds,-3.2033,-52.2064,Requinte Hotel
661,Saint-Denis,FR,75.34,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
662,Veraval,IN,83.64,clear sky,20.9,70.3667,Lords Inn Somnath
663,Labuhan,ID,80.04,overcast clouds,-6.8844,112.2051,DoubleFAG
664,Pho Chai,TH,87.82,broken clouds,16.3283,103.7703,ก๊อฟคุงยางมือสอง
666,Marsh Harbour,BS,78.46,few clouds,26.5412,-77.0636,Abaco Beach Resort
668,Sabang,ID,83.82,overcast clouds,5.8933,95.3214,Hotel Citra
669,Kalianget,ID,82.85,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
670,Santa Cruz Cabralia,BR,79.03,broken clouds,-16.2781,-39.0247,Puerto Princesa Inn
671,Pangkalanbuun,ID,78.03,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
673,Mbandaka,CD,75.22,broken clouds,0.0487,18.2603,Guest House Epervier
