City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
226,Conceicao Da Barra,BR,-18.5933,-39.7322,78.96,65,100,9.37,overcast clouds
227,Plouzane,FR,48.3833,-4.6167,66.25,70,0,11.5,clear sky
228,Saint-Pierre,RE,-21.3393,55.4781,73.08,73,20,12.66,few clouds
229,Port Lincoln,AU,-34.7333,135.8667,60.49,79,5,13.49,clear sky
230,Tornio,FI,65.8481,24.1466,57.22,75,100,3.71,overcast clouds
231,Lola,GN,7.8,-8.5333,75.51,95,81,3.29,moderate rain
232,Castro,BR,-24.7911,-50.0119,71.31,48,100,4.99,overcast clouds
233,North Bend,US,43.4065,-124.2243,60.24,100,100,1.01,overcast clouds
234,Sitka,US,57.0531,-135.33,46.54,69,61,1.83,broken clouds
235,Harindanga,IN,22.0383,88.3214,84.67,81,94,20.2,overcast clouds
236,Merrill,US,45.1805,-89.6835,77.81,31,0,4.61,clear sky
237,Olafsvik,IS,64.8945,-23.7142,41.5,69,44,12.01,scattered clouds
238,Candelaria,PH,13.9311,121.4233,79.39,87,99,1.97,overcast clouds
239,Omsukchan,RU,62.5333,155.8,27.34,98,98,7.74,overcast clouds
240,Galesong,ID,-5.3166,119.3661,77.02,86,88,7.63,overcast clouds
241,Storsteinnes,NO,69.2408,19.2344,43.45,100,100,1.79,light rain
242,Talnakh,RU,69.4865,88.3972,35.11,99,100,5.44,overcast clouds
243,Peterhead,GB,57.5058,-1.7981,62.46,81,84,4.65,broken clouds
244,Sokoni,TZ,-6.4333,39.55,80.71,73,42,15.82,scattered clouds
245,Aripuana,BR,-9.1667,-60.6333,91.87,48,30,4.21,scattered clouds
246,Ilulissat,GL,69.2167,-51.1,26.62,63,20,3.44,few clouds
247,Caracal,RO,44.1167,24.35,79.79,63,67,5.97,broken clouds
248,Hualmay,PE,-11.0964,-77.6139,69.42,70,20,9.33,few clouds
249,Hami,CN,42.8,93.45,66.63,8,40,9.4,scattered clouds
250,Mahibadhoo,MV,3.7833,72.9667,83.14,76,100,17.98,overcast clouds
251,Khatanga,RU,71.9667,102.5,33.55,99,100,7.56,overcast clouds
252,Georgetown,MY,5.4112,100.3354,84.13,79,20,2.3,few clouds
253,Mathbaria,BD,22.2876,89.9593,83.48,84,100,15.28,overcast clouds
254,Zlate Moravce,SK,48.3855,18.4006,71.64,67,54,1.99,broken clouds
255,Harrismith,ZA,-28.2728,29.1295,54.73,47,96,4.41,overcast clouds
256,Otofuke,JP,42.9917,143.2003,46.89,68,99,8.93,overcast clouds
257,Anchorage,US,61.2181,-149.9003,41.99,81,100,10.0,overcast clouds
258,Itarema,BR,-2.9248,-39.9167,83.14,76,100,13.56,overcast clouds
259,Iqaluit,CA,63.7506,-68.5145,20.93,73,75,21.85,light snow
260,Baruun-Urt,MN,46.6806,113.2792,46.42,47,65,7.74,broken clouds
261,Saquena,PE,-4.6667,-73.5167,88.65,60,45,1.59,scattered clouds
262,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,86.14,71,62,4.92,broken clouds
263,Okmulgee,US,35.6234,-95.9605,85.08,69,0,0.0,clear sky
264,Kutum,SD,14.2,24.6667,89.15,24,69,12.21,broken clouds
265,Fort Nelson,CA,58.8053,-122.7002,48.31,83,100,1.52,overcast clouds
266,Mon,IN,26.75,95.1,67.08,98,67,2.98,broken clouds
267,Cidreira,BR,-30.1811,-50.2056,67.95,77,91,14.65,light rain
268,Krasnoselkup,RU,65.7,82.4667,49.42,78,50,11.99,scattered clouds
269,Kieta,PG,-6.2167,155.6333,76.93,82,68,2.73,broken clouds
270,Siemiatycze,PL,52.4272,22.8623,55.98,72,67,11.56,broken clouds
271,Butajira,ET,8.1167,38.3667,68.31,32,80,8.41,broken clouds
272,Zhigansk,RU,66.7697,123.3711,20.48,83,11,9.48,few clouds
273,Kilinochchi,LK,9.3961,80.3982,81.9,78,98,18.03,overcast clouds
274,Kavieng,PG,-2.5744,150.7967,81.55,73,38,9.91,scattered clouds
275,Nadym,RU,65.5333,72.5167,43.7,97,100,10.07,light rain
276,Bambous Virieux,MU,-20.3428,57.7575,73.22,72,66,12.03,broken clouds
277,Gambela,ET,8.25,34.5833,76.66,76,76,4.25,moderate rain
278,Soyo,AO,-6.1349,12.3689,78.57,85,24,8.63,few clouds
279,Lebu,CL,-37.6167,-73.65,54.66,68,90,18.52,overcast clouds
280,Antiguo Morelos,MX,22.5495,-99.0812,86.45,43,73,6.78,broken clouds
281,Mbanza-Ngungu,CD,-5.25,14.8667,71.96,93,40,3.91,moderate rain
282,Sayyan,YE,15.1718,44.3244,67.26,15,2,13.65,clear sky
283,Touros,BR,-5.1989,-35.4608,84.81,70,50,14.99,scattered clouds
284,General Elizardo Aquino,PY,-24.4333,-56.7,64.92,99,100,2.71,moderate rain
285,Kirakira,SB,-10.4544,161.9205,78.66,84,8,2.62,clear sky
286,Wairoa,NZ,-39.0333,177.3667,53.55,96,100,3.0,light rain
287,Sur,OM,22.5667,59.5289,84.81,69,0,4.45,clear sky
288,San Patricio,US,28.017,-97.5169,89.55,39,48,8.88,scattered clouds
289,Kobelyaky,UA,49.1489,34.1965,56.44,85,46,6.24,light rain
290,Nelson Bay,AU,-32.7167,152.15,64.09,95,5,5.53,clear sky
291,Harper,LR,4.375,-7.7169,74.44,88,95,8.21,moderate rain
292,Furstenwalde,DE,52.3667,14.0667,68.09,59,91,10.49,overcast clouds
293,Safranbolu,TR,41.2508,32.6942,60.33,68,68,2.93,broken clouds
294,Ahipara,NZ,-35.1667,173.1667,61.39,82,56,9.28,broken clouds
295,Jashpurnagar,IN,22.9,84.15,85.21,27,86,3.4,overcast clouds
296,Lipetsk,RU,52.6031,39.5708,52.07,80,97,7.11,overcast clouds
297,Nchelenge,ZM,-9.3451,28.734,71.85,67,4,1.7,clear sky
298,Vung Tau,VN,10.346,107.0843,84.0,81,69,9.8,broken clouds
